"id" "start" "end" "sex" "cod" "exposure" "n" "fu" "cases" "HR" "CI_left" "CI_right"
10012 "A16" "A16" "All" "All" 6 2041 12256.9142076503 331 2.29339151754007 2.05910704100086 2.55433279960435
10013 "A17" "A17" "All" "All" 0 7378555 101659690.66731 1034209 1 NA NA
10013 "A17" "A17" "All" "All" 1 170 73.0293884272774 29 61.2336778213673 42.5514541875791 88.1183351102844
10013 "A17" "A17" "All" "All" 2 148 70.1506849315069 NA NA NA NA
10013 "A17" "A17" "All" "All" 3 150 136.902058537315 6 8.18634182078987 3.67806066075506 18.220523963043
10013 "A17" "A17" "All" "All" 4 156 389.890500785987 9 4.54408562510796 2.36433531585089 8.73341189377005
10013 "A17" "A17" "All" "All" 5 122 506.60814432218 10 4.34090858888339 2.33563064928875 8.06783700272978
10013 "A17" "A17" "All" "All" 6 84 531.478276817127 7 1.87143265592746 0.892170125543125 3.92555196077616
10014 "A18" "A18" "All" "All" 0 7377568 101629286.413489 1033706 1 NA NA
10014 "A18" "A18" "All" "All" 1 2431 1145.09169099483 83 7.66687642495355 6.18275024600061 9.50725676708867
10014 "A18" "A18" "All" "All" 2 2427 1144.67721386331 37 3.51601415171336 2.5474777413704 4.85278254419539
10014 "A18" "A18" "All" "All" 3 2485 2286.74954712179 29 1.38867059683042 0.965011148108843 1.99832512845111
10014 "A18" "A18" "All" "All" 4 2870 6911.67738603188 123 1.8854703369711 1.5800258596091 2.24996215725066
